imdb_id,rating
0057413,1
0056884,1
0057541,3
0056937,3
0057623,1
0057933,3
0058409,3
0058379,1
0058331,3
0058182,1
0058544,3
0057918,1
0058725,0
0057869,3
0058700,1
0057012,0
0058461,1
0058450,3
0058708,3
0057997,3
0058715,1
0058586,1
0058385,3
0058139,2
0058536,1
0058324,2
0058263,0
0057887,2
0058625,0
0058695,3
0058658,3
0058329,3
0058083,1
0058003,3
0057259,1
0057840,2
0058213,3
0058659,2
0057878,1
0058100,1
0058777,0
0059825,1
0058150,1
0058430,0
0058564,3
0058335,3
0058212,0
0059212,0
0059229,3
0058361,3
0059800,2
0058898,1
0059100,3
0059205,1
0059170,3
0059080,2
0059764,3
0059956,3
0059607,3
0059573,3
0059183,0
0059346,2
0059348,0
0059742,3
0059113,1
0059793,3
0059646,3
0059314,3
0059631,0
0059084,3
0058997,3
0059319,1
0059578,0
0058946,1
0060453,3
0059020,3
0060107,1
0060165,1
0060125,1
0060827,3
0060086,1
0060841,3
0060464,1
0060196,1
0061101,1
0061107,3
0060397,0
0061184,1
0060758,3
0061879,3
0060522,0
0059127,1
0061122,3
0060782,1
0060446,0
0060934,1
0060666,3
0060665,1
0060558,1
0060424,1
0062851,1
0064208,0
0060315,0
0062853,0
0060479,3
0062852,0
0060223,0
0060959,3
0060390,3
0059557,2
0060174,2
0060176,0
0062990,3
0062873,3
0063278,1
0062411,3
0061512,1
0061452,2
0061852,1
0062113,1
0061655,1
0062467,3
0062281,3
0061523,3
0061385,3
0061882,1
0062229,1
0062512,1
0061398,3
0061578,0
0061395,3
0062407,3
0061391,3
0061722,2
0062136,3
0061695,0
0062502,3
0061369,0
0061856,0
0061834,3
0062430,3
0061328,1
0061495,1
0061418,3
0061811,1
0061735,3
0062373,0
0062362,3
0061620,0
0064116,1
0063121,0
0062426,3
0065225,3
0061955,3
0063415,3
0063010,0
0063060,2
0063442,1
0062782,3
0062994,3
0062765,1
0062925,1
0063759,1
0063227,3
0063850,1
0063462,0
0061747,2
0063642,3
0062711,3
0062164,0
0062622,0
0063823,0
0065207,3
0063172,0
0063350,3
0063049,0
0063493,0
0130141,3
0063522,3
0062794,2
0062687,0
0063000,2
0063668,0
0062909,2
0063185,3
0063518,3
0064276,1
0064793,1
0064816,3
0064505,1
0064782,2
0064373,0
0064840,3
0064156,0
0065063,1
0064418,3
0064253,0
0063991,3
0064437,3
0065088,1
0064115,1
0064990,3
0064612,3
0064708,1
0066579,3
0065051,1
0064541,1
0064002,1
0065234,1
0064040,0
0065566,1
0064757,2
0064665,1
0065126,3
0067961,3
0065421,3
0067713,1
0066473,1
0064165,1
0065531,0
0067355,2
0066109,1
0066207,3
0065528,3
0188484,3
0066011,1
0066122,1
0065571,3
0066164,3
0066227,3
0065377,3
0064177,0
0065856,2
0066518,3
0065649,3
0065988,1
0066491,2
0065134,3
0065611,3
0064806,1
0065466,3
0065488,0
0065569,1
0065073,3
0066549,0
0066327,1
0065724,3
0065772,3
0065449,3
0066279,3
0067927,0
0065854,3
0066817,3
0067185,3
0066730,1
0067483,3
0067482,3
0067881,3
0067451,3
0067741,1
0068675,0
0067023,0
0067992,2
0066763,2
0067116,1
0067637,3
0067541,1
0067372,1
0067367,3
0066824,2
0067633,3
0067328,2
0066995,1
0067439,3
0067065,1
0066765,1
0067810,1
0249577,1
0067820,3
0067411,3
0066921,1
0067800,1
0067959,1
0067341,3
0067128,1
0066434,0
0067418,2
0067445,0
0067309,3
0067148,3
0067972,1
0067588,3
0066380,3
0066993,3
0066728,1
0066808,1
0067322,3
0067402,3
0067690,3
0066919,1
0067919,3
0067977,2
0068473,1
0069089,3
0068762,1
0068817,0
0069113,1
0201820,3
0070694,3
0069467,3
0066798,0
0069442,3
0068182,2
0068646,2
0068156,1
0069281,0
0143348,0
0068327,3
0068161,3
0070959,0
0070849,3
0069495,2
0068371,1
0068346,0
0068205,2
0068816,2
0069293,1
0070641,1
0068278,3
0244730,3
0068326,3
0068468,3
0068828,3
0069019,2
0069404,3
0069489,3
0068240,3
0068815,0
0068833,3
0068284,3
0068361,3
0068611,3
0070544,0
0070735,1
0069895,3
0071615,1
